Region,CO2 Emissions
Europe,"122,709"
Europe,"50,597"
Europe,"17,217"
Europe,796
Europe,"67,091"
Europe,"390,103"
Europe,"825,896"
Europe,"97,150"
Europe,"57,352"
Europe,"2,233"
Europe,"43,956"
Europe,null
Europe,"472,768"
Europe,null
Europe,"7,132"
Europe,null
Europe,"13,330"
Europe,"11,269"
Europe,"11,192"
Europe,"2,574"
Europe,"4,554"
Europe,null
Europe,null
Europe,"176,903"
Europe,"42,666"
Europe,"304,988"
Europe,"63,175"
Europe,"95,401"
Europe,"1,602,963"
Europe,null
Europe,null
Europe,"38,749"
Europe,"15,746"
Europe,"339,429"
Europe,"54,521"
Europe,"40,392"
Europe,"225,407"
Europe,"343,121"
Europe,"540,409"
Middle East,"17,510"
Middle East,"447,480"
Middle East,"114,084"
Middle East,"63,201"
Middle East,"19,241"
Middle East,"63,534"
Middle East,"16,835"
Middle East,"27,987"
Middle East,"44,393"
Middle East,"395,834"
Middle East,"51,111"
Middle East,"113,241"
Middle East,"18,881"
Oceania,null
Oceania,"348,757"
Oceania,"1,133"
Oceania,788
Oceania,null
Oceania,44
Oceania,88
Oceania,147
Oceania,"2,552"
Oceania,"34,759"
Oceania,"4,481"
Oceania,154
Oceania,180
Oceania,172
Oceania,55
The Americas,407
The Americas,"156,170"
The Americas,"2,259"
The Americas,"1,723"
The Americas,"1,294"
The Americas,381
The Americas,671
The Americas,"13,084"
The Americas,"337,826"
